,County,Total Deaths in 2008,Population in 2008,Total Deaths in 2009,Population in 2009,Total Deaths in 2010,Population in 2010,Total Deaths in 2011,Population in 2011,Total Deaths in 2012,Population in 2012,Total Deaths in 2013,Population in 2013,Total Deaths in 2014,Population in 2014,Total Deaths in 2015,Population in 2015,Total Deaths in 2016,Population in 2016,Total Deaths in 2017,Population in 2017,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate
57,Morgan,0,15104,0,15073,0,15047,2,15047,0,14943,5,14905,0,14743,0,14746,5,14762,0,14709,0.0,0.0,0.0,13.29168605037549,0.0,33.545790003354576,0.0,0.0,33.87074922097277,0.0
58,Morrow,3,34877,10,34907,9,34791,6,34806,3,34831,17,34842,18,34936,7,34950,14,34954,27,34994,8.601657252630673,28.647549202165752,25.868759161852203,17.238407171177386,8.613017139904109,48.791688192411456,51.52278452026563,20.028612303290412,40.052640613377584,77.15608390009716
59,Muskingum,16,85874,8,85779,2,86215,0,86240,14,85788,12,85610,4,85859,9,86119,5,85929,32,86149,18.631949134778864,9.326291982886255,2.319781940497593,0.0,16.319298736420013,14.017054082467002,4.65880105754784,10.450655488335908,5.818757346181149,37.14494654610036
60,Noble,3,14653,3,14649,0,14647,0,14738,0,14650,0,14664,0,14519,10,14456,3,14443,3,14406,20.47362314884324,20.479213598197827,0.0,0.0,0.0,0.0,0.0,69.1754288876591,20.771307900020773,20.824656393169512
61,Ottawa,0,41554,8,41498,0,41358,0,41313,3,41240,10,41032,9,40903,16,40758,32,40495,13,40657,0.0,19.278037495782932,0.0,0.0,7.274490785645004,24.37122246051862,22.003276043322007,39.256096962559496,79.02210149401161,31.974813685220255
62,Paulding,0,19670,5,19659,4,19562,0,19372,0,19250,0,19142,10,18976,0,18955,0,18839,9,18845,0.0,25.433643623785542,20.44780697270218,0.0,0.0,0.0,52.698145025295105,0.0,0.0,47.75802600159194
63,Perry,6,36150,3,35996,3,36040,12,36227,6,35982,0,35997,8,35917,8,35958,9,36019,13,36024,16.59751037344398,8.33425936215135,8.32408435072142,33.12446517790598,16.67500416875104,0.0,22.273575187237242,22.24817843039101,24.98681251561676,36.08705307572729
64,Pickaway,5,55376,16,55323,16,55733,28,55936,21,56227,17,56345,10,56693,19,56975,9,57530,27,57830,9.02918231724935,28.921063572112864,28.708305671684638,50.05720823798627,37.34860476283636,30.17126630579466,17.63886194062759,33.34795963141729,15.644011819920042,46.68856994639461
65,Pike,9,28763,12,28679,3,28741,12,28603,5,28496,14,28398,13,28307,20,28245,10,28237,37,28270,31.29019921426833,41.84246312632937,10.438050172227827,41.95364122644477,17.546322290847836,49.29924642580463,45.92503621012471,70.80899274207823,35.414527038991395,130.8807923593916
66,Portage,9,160184,9,161226,21,161389,10,161859,18,161350,33,161484,63,162216,86,162260,127,162162,99,162277,5.618538680517405,5.582226191805292,13.012039234396397,6.1782168430547575,11.15587232723892,20.435461098313144,38.837106080781176,53.001355848637985,78.31674498341165,61.00679701991041
67,Preble,11,42688,3,42424,7,42174,0,41983,4,41810,8,41665,21,41483,35,41266,55,41105,77,41120,25.768365817091457,7.071468979822742,16.597903921847585,0.0,9.567089213106911,19.20076803072123,50.62314683123207,84.8155866815296,133.8036735190366,187.2568093385214
68,Putnam,3,34655,0,34583,4,34475,0,34375,3,34191,6,34100,10,34181,11,34011,9,34016,2,33878,8.656759486365605,0.0,11.602610587382161,0.0,8.774238834781084,17.59530791788856,29.256019425996897,32.34247743377143,26.45813734713076,5.903536218194699
69,Richland,14,126128,27,125308,32,124161,32,123130,22,122625,46,122303,62,121965,74,121641,185,121167,140,120589,11.099835088164404,21.546908417658887,25.772988297452503,25.98879233330626,17.940876656472987,37.61150585022445,50.83425572910261,60.83475144071489,152.68183581338153,116.09682475184303
70,Ross,22,77675,50,77862,40,78088,47,77559,32,77355,34,77254,76,77078,103,77068,113,76910,84,77313,28.323141293852593,64.21617733939534,51.224259809445755,60.59902783687258,41.367720250791805,44.01066611437595,98.6014167466722,133.64820677842945,146.92497724613185,108.6492569166893
71,Sandusky,10,61184,3,61039,3,60883,3,60596,5,60454,9,60040,27,59823,31,59454,45,59281,50,59195,16.344142259414227,4.9148904798571404,4.927483862490351,4.950821836424846,8.27075131504946,14.990006662225184,45.13314277117497,52.14115114205941,75.9096506469189,84.46659346228566
72,Scioto,34,79133,29,79241,26,79500,28,79226,16,78604,23,78103,35,77280,37,76805,62,76240,100,75929,42.965640124853095,36.5972160876314,32.704402515723274,35.341933203746244,20.355198208742557,29.4482926392072,45.289855072463766,48.17394700865829,81.3221406086044,131.70198474891018
73,Seneca,0,57199,9,56897,0,56616,16,56505,8,56084,23,55813,26,55761,12,55569,15,55357,39,55243,0.0,15.818057191064556,0.0,28.31607822316609,14.264317809000785,41.20903732105423,46.62757124154876,21.594774064676347,27.096844120888054,70.59717973317886
74,Shelby,10,49454,8,49540,7,49313,12,49214,5,49109,10,49122,15,48934,21,48967,45,48726,66,48759,20.22081125894771,16.148566814695197,14.195039847504715,24.383305563457554,10.181433138528579,20.35747730141281,30.65353333060857,42.886025282333,92.35315847801995,135.35962591521564
75,Stark,25,377141,17,376210,74,375366,85,374470,83,374863,97,375025,150,375549,169,374719,276,373528,264,372542,6.628820520707109,4.518752824220515,19.714092379171262,22.69874756322269,22.141422332958975,25.86494233717752,39.941525606512066,45.10046194615165,73.8900430489816,70.86449313097584
76,Summit,49,543116,80,542135,100,541648,78,541293,154,540716,132,541601,293,542095,411,541270,846,540394,597,541228,9.022013713460844,14.756472096433544,18.462174696481846,14.409940642129126,28.480755146879325,24.372185428018042,54.04956695782105,75.93252905204427,156.55244136685457,110.30471446414451
77,Trumbull,59,212191,59,211290,87,209830,92,208804,47,207182,72,206312,122,204974,227,203336,302,201701,346,200380,27.80513782394164,27.92370675375077,41.46213601486918,44.06045861190398,22.68536842003649,34.89860017837062,59.51974396752759,111.63788015894875,149.7265754755802,172.67192334564328
78,Tuscarawas,5,92634,5,92584,8,92548,26,92482,10,92413,12,92586,7,92613,20,92673,34,92485,62,92297,5.397586199451605,5.400501166508252,8.644163028914726,28.1135788585887,10.820988389079458,12.96092281770462,7.558334143154849,21.581258834827835,36.76271827863978,67.17444770685938
79,Union,3,50856,10,51798,30,52389,0,53025,3,52724,10,53334,16,53654,13,54254,16,55456,33,56741,5.899008966493629,19.30576470133982,57.263929450838916,0.0,5.690008345345573,18.74976562792965,29.820703023073772,23.96136690382276,28.851702250432773,58.1590031899332
80,Van Wert,0,29075,4,28849,9,28662,16,28609,4,28618,13,28331,11,28308,3,28289,21,28166,23,28217,0.0,13.865298623869112,31.400460540087924,55.9264567094271,13.977217136068207,45.886131799089334,38.85827327963827,10.604828732015978,74.55797770361428,81.5111457631924
81,Vinton,3,13452,4,13474,0,13405,3,13377,5,13221,2,13303,5,13210,4,13082,5,13021,2,13092,22.301516503122212,29.686804215526198,0.0,22.426553038797937,37.81862188941835,15.034202811395925,37.85011355034065,30.576364470264487,38.399508486291374,15.276504735716468
82,Warren,33,208640,41,211231,54,213466,32,215373,39,217255,43,219097,73,221152,102,223735,159,226476,234,228882,15.816717791411044,19.41002977782617,25.29676857204426,14.857944124843875,17.951255437159098,19.62601039722132,33.00897120532484,45.589648468053724,70.20611455518466,102.23608671717304
83,Washington,0,62040,4,61968,5,61705,5,61588,6,61424,7,61334,29,61118,19,60952,41,60535,31,60418,0.0,6.454944487477407,8.10307106393323,8.118464635968046,9.76816879395676,11.41291942478886,47.44919663601557,31.17206982543641,67.72941273643347,51.30921248634513
84,Wayne,19,114610,7,114588,4,114391,20,114620,17,114976,2,115282,22,115776,64,116055,93,116422,42,116038,16.577960038391065,6.108842112612141,3.4967785927214554,17.448961786773687,14.785694405789036,1.7348762165819467,19.00221116639027,55.14626685623196,79.88180928003298,36.195039556007515
85,Williams,6,38297,3,37950,10,37507,0,37576,1,37516,12,37419,5,37186,2,36997,21,36921,7,36784,15.667023526646997,7.905138339920949,26.661689817900662,0.0,2.665529374133703,32.069269622384354,13.445920507717958,5.40584371705814,56.87819939871618,19.030013049151805
86,Wood,9,125275,27,125384,14,125947,6,127103,8,128403,8,128912,42,129230,65,129183,52,129704,45,130492,7.184194771502694,21.533848018885983,11.115786799209191,4.720580946161775,6.230384025295359,6.205783790492739,32.50019345353246,50.31621807823011,40.09128477147968,34.4848726358704
87,Wyandot,0,22642,3,22644,0,22585,0,22635,2,22538,0,22454,0,22268,4,22156,15,22042,7,22029,0.0,13.248542660307367,0.0,0.0,8.873901854645487,0.0,0.0,18.053800324968403,68.05190091643227,31.776294884016526
